,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
37,ADAUSDT,TLMUSDT,0.02,-3.72,-3.37,8.48,45
74,MATICUSDT,STXUSDT,0.0,-4.77,-3.37,1.29,43
64,SUSHIUSDT,QNTUSDT,0.01,-4.1,-3.37,0.03,43
113,MANAUSDT,CROUSDT,0.0,-4.51,-3.37,6.45,43
148,HBARUSDT,DOGEUSDT,0.0,-4.46,-3.37,1.73,40
135,DYDXUSDT,QNTUSDT,0.01,-3.92,-3.37,0.05,40
138,OMGUSDT,ILVUSDT,0.04,-3.46,-3.37,0.01,39
228,REEFUSDT,SANDUSDT,0.01,-3.92,-3.37,0.0,39
30,ADAUSDT,COMPUSDT,0.01,-4.06,-3.37,0.01,38
156,HBARUSDT,SLPUSDT,0.03,-3.48,-3.37,11.13,38
38,ADAUSDT,IOTXUSDT,0.01,-3.87,-3.37,12.02,38
47,ADAUSDT,DENTUSDT,0.01,-3.9,-3.37,372.85,37
44,ADAUSDT,IOTAUSDT,0.0,-4.89,-3.37,1.21,37
127,ALGOUSDT,HNTUSDT,0.0,-4.7,-3.37,0.03,37
129,DYDXUSDT,LRCUSDT,0.02,-3.77,-3.37,6.99,36
133,DYDXUSDT,RSRUSDT,0.03,-3.54,-3.37,401.32,36
84,BNBUSDT,STXUSDT,0.04,-3.4,-3.37,322.77,36
104,SANDUSDT,QNTUSDT,0.0,-4.42,-3.37,0.03,36
21,LTCUSDT,STXUSDT,0.02,-3.64,-3.37,92.0,35
210,SFPUSDT,KSMUSDT,0.02,-3.62,-3.37,0.01,35
124,AVAXUSDT,ZECUSDT,0.02,-3.66,-3.37,0.74,34
70,MATICUSDT,CROUSDT,0.0,-4.22,-3.37,3.66,34
120,AVAXUSDT,FTMUSDT,0.01,-3.9,-3.37,46.98,34
134,DYDXUSDT,REEFUSDT,0.03,-3.56,-3.37,572.09,34
170,HBARUSDT,CKBUSDT,0.0,-4.24,-3.37,19.19,34
4,ETHUSDT,STORJUSDT,0.03,-3.59,-3.37,2825.23,34
42,ADAUSDT,STXUSDT,0.0,-5.05,-3.37,0.77,33
61,SUSHIUSDT,REQUSDT,0.01,-3.91,-3.37,15.39,32
100,SANDUSDT,ENSUSDT,0.01,-3.95,-3.37,0.22,32
33,ADAUSDT,ENJUSDT,0.0,-5.07,-3.37,0.62,32
39,ADAUSDT,CHRUSDT,0.0,-5.64,-3.37,2.27,32
80,BNBUSDT,AXSUSDT,0.0,-5.19,-3.37,7.42,31
141,DASHUSDT,ENJUSDT,0.02,-3.67,-3.37,64.1,31
56,XEMUSDT,SCUSDT,0.03,-3.52,-3.37,11.26,30
126,AVAXUSDT,KAVAUSDT,0.05,-3.37,-3.37,24.98,30
163,HBARUSDT,REQUSDT,0.01,-3.95,-3.37,1.03,30
17,LTCUSDT,XLMUSDT,0.02,-3.69,-3.37,571.95,29
62,SUSHIUSDT,SPELLUSDT,0.03,-3.53,-3.37,755.02,29
116,MANAUSDT,STXUSDT,0.02,-3.67,-3.37,2.28,29
191,LRCUSDT,DOGEUSDT,0.01,-3.77,-3.37,6.06,29
106,MANAUSDT,XLMUSDT,0.01,-3.93,-3.37,14.14,29
94,TRXUSDT,10000NFTUSDT,0.01,-3.89,-3.37,3.48,29
24,XTZUSDT,ETCUSDT,0.03,-3.59,-3.37,0.12,29
136,OMGUSDT,DASHUSDT,0.03,-3.58,-3.37,0.04,28
50,DOTUSDT,ETCUSDT,0.0,-4.11,-3.37,0.62,28
110,MANAUSDT,CHRUSDT,0.02,-3.63,-3.37,6.71,28
82,BNBUSDT,ILVUSDT,0.04,-3.41,-3.37,0.68,28
223,KLAYUSDT,10000NFTUSDT,0.0,-4.17,-3.37,69.65,28
122,AVAXUSDT,QTUMUSDT,0.01,-3.86,-3.37,12.91,27
60,SUSHIUSDT,TLMUSDT,0.02,-3.72,-3.37,31.29,27
192,LRCUSDT,YFIUSDT,0.03,-3.57,-3.37,0.0,27
130,DYDXUSDT,ENSUSDT,0.02,-3.75,-3.37,0.38,27
177,C98USDT,NEOUSDT,0.04,-3.39,-3.37,0.06,27
83,BNBUSDT,CHRUSDT,0.04,-3.38,-3.37,952.41,27
189,FLOWUSDT,XMRUSDT,0.01,-3.95,-3.37,0.04,26
31,ADAUSDT,AXSUSDT,0.03,-3.48,-3.37,0.02,26
23,LTCUSDT,REQUSDT,0.04,-3.45,-3.37,499.99,26
36,ADAUSDT,COTIUSDT,0.0,-4.62,-3.37,4.21,26
208,CROUSDT,ETHUSDT,0.04,-3.39,-3.37,0.0,26
227,REEFUSDT,SOLUSDT,0.03,-3.58,-3.37,0.0,25
85,BNBUSDT,DUSKUSDT,0.03,-3.55,-3.37,1067.24,25
230,XMRUSDT,FILUSDT,0.0,-4.15,-3.37,8.0,25
140,DASHUSDT,COMPUSDT,0.05,-3.37,-3.37,0.82,25
193,ENSUSDT,DOGEUSDT,0.02,-3.6,-3.37,111.67,25
187,FLOWUSDT,WOOUSDT,0.01,-4.06,-3.37,12.98,25
137,OMGUSDT,COTIUSDT,0.01,-3.99,-3.37,18.74,25
233,QNTUSDT,ADAUSDT,0.02,-3.65,-3.37,124.11,25
207,LPTUSDT,RVNUSDT,0.04,-3.4,-3.37,425.39,24
118,MANAUSDT,ZILUSDT,0.01,-3.85,-3.37,65.39,24
7,ETHUSDT,STXUSDT,0.05,-3.37,-3.37,2339.53,24
168,HBARUSDT,XNOUSDT,0.0,-4.88,-3.37,0.12,24
40,ADAUSDT,QTUMUSDT,0.03,-3.55,-3.37,0.15,24
1,BTCUSDT,KAVAUSDT,0.02,-3.72,-3.37,12551.27,23
107,MANAUSDT,BSVUSDT,0.0,-4.39,-3.37,0.03,23
174,C98USDT,IOTXUSDT,0.02,-3.61,-3.37,18.1,23
78,BNBUSDT,VETUSDT,0.03,-3.54,-3.37,7872.84,23
231,RVNUSDT,BCHUSDT,0.04,-3.38,-3.37,0.0,23
157,HBARUSDT,IMXUSDT,0.0,-4.58,-3.37,0.14,23
117,MANAUSDT,MASKUSDT,0.01,-3.77,-3.37,0.6,23
14,EOSUSDT,1INCHUSDT,0.0,-4.53,-3.37,1.52,23
71,MATICUSDT,ZECUSDT,0.04,-3.45,-3.37,0.01,23
68,MATICUSDT,CHRUSDT,0.04,-3.45,-3.37,3.81,23
9,EOSUSDT,YFIUSDT,0.01,-4.07,-3.37,0.0,23
10,EOSUSDT,SRMUSDT,0.02,-3.76,-3.37,1.1,23
79,BNBUSDT,COMPUSDT,0.0,-4.28,-3.37,3.32,22
35,ADAUSDT,ICPUSDT,0.03,-3.54,-3.37,0.05,22
45,ADAUSDT,CELOUSDT,0.01,-3.99,-3.37,0.36,22
112,MANAUSDT,QTUMUSDT,0.01,-3.96,-3.37,0.44,22
159,HBARUSDT,SKLUSDT,0.03,-3.58,-3.37,1.75,22
128,DYDXUSDT,TLMUSDT,0.01,-3.8,-3.37,51.26,22
194,SLPUSDT,LTCUSDT,0.03,-3.51,-3.37,0.0,22
121,AVAXUSDT,STORJUSDT,0.0,-4.12,-3.37,81.54,22
119,AVAXUSDT,COMPUSDT,0.04,-3.38,-3.37,0.69,22
2,BTCUSDT,NEOUSDT,0.01,-3.8,-3.37,1865.95,22
81,BNBUSDT,CHZUSDT,0.03,-3.55,-3.37,2127.24,22
99,SANDUSDT,CRVUSDT,0.02,-3.62,-3.37,1.31,22
